fips,county_name,state_abbr,state_name
20161,Riley,KS,Kansas
19159,Ringgold,IA,Iowa
30009,Carbon,MT,Montana
16007,Bear Lake,ID,Idaho
55011,Buffalo,WI,Wisconsin
31185,York,NE,Nebraska
08037,Eagle,CO,Colorado
42129,Westmoreland,PA,Pennsylvania
40079,Le Flore,OK,Oklahoma
48053,Burnet,TX,Texas
36017,Chenango,NY,New York
20109,Logan,KS,Kansas
47053,Gibson,TN,Tennessee
27061,Itasca,MN,Minnesota
25017,Middlesex,MA,Massachusetts
36119,Westchester,NY,New York
46093,Meade,SD,South Dakota
54107,Wood,WV,West Virginia
19021,Buena Vista,IA,Iowa
47021,Cheatham,TN,Tennessee
05019,Clark,AR,Arkansas
51105,Lee,VA,Virginia
27013,Blue Earth,MN,Minnesota
56033,Sheridan,WY,Wyoming
22087,St. Bernard,LA,Louisiana
19015,Boone,IA,Iowa
39035,Cuyahoga,OH,Ohio
45027,Clarendon,SC,South Carolina
41035,Klamath,OR,Oregon
45015,Berkeley,SC,South Carolina
25005,Bristol,MA,Massachusetts
25015,Hampshire,MA,Massachusetts
49025,Kane,UT,Utah
37127,Nash,NC,North Carolina
44007,Providence,RI,Rhode Island
42111,Somerset,PA,Pennsylvania
45059,Laurens,SC,South Carolina
48057,Calhoun,TX,Texas
49017,Garfield,UT,Utah
48341,Moore,TX,Texas
27167,Wilkin,MN,Minnesota
48185,Grimes,TX,Texas
05073,Lafayette,AR,Arkansas
49047,Uintah,UT,Utah
53043,Lincoln,WA,Washington
25025,Suffolk,MA,Massachusetts
36025,Delaware,NY,New York
06059,Orange,CA,California
36115,Washington,NY,New York
37043,Clay,NC,North Carolina
06111,Ventura,CA,California
46127,Union,SD,South Dakota
13021,Bibb,GA,Georgia
41051,Multnomah,OR,Oregon
48035,Bosque,TX,Texas
17017,Cass,IL,Illinois
13049,Charlton,GA,Georgia
29033,Carroll,MO,Missouri
31157,Scotts Bluff,NE,Nebraska
26119,Montmorency,MI,Michigan
09011,New London,CT,Connecticut
13283,Treutlen,GA,Georgia
37119,Mecklenburg,NC,North Carolina
54043,Lincoln,WV,West Virginia
45035,Dorchester,SC,South Carolina
34041,Warren,NJ,New Jersey
12095,Orange,FL,Florida
47001,Anderson,TN,Tennessee
05021,Clay,AR,Arkansas
24047,Worcester,MD,Maryland
27145,Stearns,MN,Minnesota
48471,Walker,TX,Texas
24003,Anne Arundel,MD,Maryland
30059,Meagher,MT,Montana
22053,Jefferson Davis,LA,Louisiana
22055,Lafayette,LA,Louisiana
39043,Erie,OH,Ohio
01033,Colbert,AL,Alabama
38105,Williams,ND,North Dakota
22011,Beauregard,LA,Louisiana
48407,San Jacinto,TX,Texas
13309,Wheeler,GA,Georgia
13279,Toombs,GA,Georgia
24033,Prince George's,MD,Maryland
29143,New Madrid,MO,Missouri
42097,Northumberland,PA,Pennsylvania
17129,Menard,IL,Illinois
12125,Union,FL,Florida
28079,Leake,MS,Mississippi
31091,Hooker,NE,Nebraska
41043,Linn,OR,Oregon
13077,Coweta,GA,Georgia
29087,Holt,MO,Missouri
10005,Sussex,DE,Delaware
06063,Plumas,CA,California
12069,Lake,FL,Florida
42131,Wyoming,PA,Pennsylvania
51163,Rockbridge,VA,Virginia
22113,Vermilion,LA,Louisiana
51001,Accomack,VA,Virginia
51099,King George,VA,Virginia
38037,Grant,ND,North Dakota
18179,Wells,IN,Indiana
32031,Washoe,NV,Nevada
38035,Grand Forks,ND,North Dakota
19045,Clinton,IA,Iowa
22119,Webster,LA,Louisiana
21093,Hardin,KY,Kentucky
22081,Red River,LA,Louisiana
22107,Tensas,LA,Louisiana
47173,Union,TN,Tennessee
51185,Tazewell,VA,Virginia
40087,McClain,OK,Oklahoma
17109,McDonough,IL,Illinois
27083,Lyon,MN,Minnesota
46071,Jackson,SD,South Dakota
13153,Houston,GA,Georgia
42051,Fayette,PA,Pennsylvania
41021,Gilliam,OR,Oregon
01051,Elmore,AL,Alabama
05041,Desha,AR,Arkansas
17197,Will,IL,Illinois
21119,Knott,KY,Kentucky
13183,Long,GA,Georgia
05061,Howard,AR,Arkansas
12127,Volusia,FL,Florida
21025,Breathitt,KY,Kentucky
20075,Hamilton,KS,Kansas
27139,Scott,MN,Minnesota
27015,Brown,MN,Minnesota
27053,Hennepin,MN,Minnesota
42027,Centre,PA,Pennsylvania
37147,Pitt,NC,North Carolina
21017,Bourbon,KY,Kentucky
45043,Georgetown,SC,South Carolina
56029,Park,WY,Wyoming
